ParentKey	LineNum	ItemCode	ItemDescription	Quantity	Price	WarehouseCode	AccountCode	LineTotal
DocNum	LineNum	ItemCode	Dscription	Quantity	Price	WhsCode	AcctCode	LineTotal
2	88	AX-SPA804R	CAJA AMPLIF. PORTATIL 8 15000W C/REC/1 MIC. - Oferta	3	56.80	201	_SYS00000005053	170.40
2	89	KR-L206	CAJA AMPLIF. PORTATIL DOBLE 6 20000W C/LED	3	22.81	201	_SYS00000005053	68.43
2	90	AX-SPA1004B	CAJA AMPLIFICADA 10 20000W C/BLT - Oferta	1	67.67	201	_SYS00000005053	67.67
2	91	AX-SPA1204B	CAJA AMPLIFICADA 12 30000W C/REC - Oferta	1	84.97	201	_SYS00000005053	84.97
2	92	AX-SPA1204BLT REMATE	CAJA AMPLIFICADA 12 30000W C/REC - REMATE	1	72.59	201	_SYS00000005053	72.59
2	93	OPTIMUS1504	CAJA AMPLIFICADA 15 80000W C/LED	13	98.53	201	_SYS00000005053	1280.89
2	94	AX-SPA1504B	CAJA AMPLIFICADA 15 80000W C/REC - Oferta	1	75.79	201	_SYS00000005053	75.79
2	95	AX-SPA804BLT REMATE	CAJA AMPLIFICADA 8 8000W C/USB/SD/FM/BLT - REMATE	1	66.36	201	_SYS00000005053	66.36
2	96	TDI-A2	CAJA DIRECTA ACTIVA CALIDAD	3	17.78	201	_SYS00000005053	53.34
2	97	TDI-P1	CAJA DIRECTA PASIVA CALIDAD	8	10.94	201	_SYS00000005053	87.52
2	98	AX-SP1004	CAJA PASIVA 10 20000W 8 OHM PLASTICA	3	32.31	201	_SYS00000005053	96.93
2	99	AX-SP1204	CAJA PASIVA 12 30000W 8 OHM PLASTICA - Oferta	1	42.90	201	_SYS00000005053	42.90
2	100	AX-SP126	CAJA PASIVA 12 50000W 8 OHM PLASTICA - Oferta	16	33.30	201	_SYS00000005053	532.80
2	101	AX-WD1215	CAJA PASIVA 15 12000W 8 OHM BATE-PIEDRA DOBLE	4	101.06	201	_SYS00000005053	404.24
2	102	TPS115NEO-MKII	CAJA PASIVA 15 200W 8 OHM BATE PIEDRA - NETO	1	100.74	201	_SYS00000005053	100.74
2	103	TPS215NEO-MKII	CAJA PASIVA 15 400W 4 OHM BATE-PIEDRA DOBLE - NETO	1	164.80	201	_SYS00000005053	164.80
2	104	AX-SP1504	CAJA PASIVA 15 50000W 8 OHM PLASTICA	1	52.45	201	_SYS00000005053	52.45
2	105	AX-SP156	CAJA PASIVA 15 50000W 8 OHM PLASTICA	25	39.83	201	_SYS00000005053	995.75
2	106	AX-WD115	CAJA PASIVA 15 5000W 8 OHM BATE-PIEDRA	4	71.32	201	_SYS00000005053	285.28
2	107	OPTIMUS1504 PASSIVE	CAJA PASIVA 15 80000W 8 OHM PLASTICA	1	59.42	201	_SYS00000005053	59.42
