ParentKey	LineNum	BPCode
ItemCode	LineNum	VendorCode
MC-4	0	PE00000016
PMC-6	0	PE00000016
CL3HW	0	PE00000016
CL18	0	PE00000016
CL1HW	0	PE00000016
CL1RW	0	PE00000016
LCDCLAVE	0	PE00000020
MH-ACTION V-DLX	0	PE00000011
MH-GB35A	0	PE00000011
MH-ACTION-A	0	PE00000011
MHB01CR	0	PE00000015
MHB01BK	0	PE00000015
MHB02BK	0	PE00000015
MHB02CR 2_2	0	PE00000015
MHB02BK 2_2	0	PE00000015
MHB02CR 3_3	0	PE00000015
MHB01CR 4-LINE	0	PE00000015
MHB01BK 4-LINE	0	PE00000015
MHB01CR 4_1	0	PE00000015
MHB01BK 4_1	0	PE00000015
MH04BK OF	0	PE00000015
MHG313	0	PE00000015
MHG317	0	PE00000015
MHG318	0	PE00000015
MHG301	0	PE00000015
MHG307	0	PE00000015
MHG302CR	0	PE00000015
MHG302	0	PE00000015
MH01BK 6-LINE	0	PE00000015
JN-07 SP LOCK	0	PE00000015
MH04CR	0	PE00000015
MH01BK	0	PE00000015
MH01CR	0	PE00000015
VPHW-4/4	0	PE00000014
LEBP-1 BK OF	0	PE00000014
WSB500BPACK-A-U	0	PE00000040
WSB500TSPACK-A-U	0	PE00000040
RAPT_STGPK BLK	0	PE00000018
RAPT_STGPK RED	0	PE00000018
LEGP-1 BL	0	PE00000014
LEGP-1 BK	0	PE00000014
LEGP-1 RD	0	PE00000014
EFGS-7005	0	PE00000014
WS300BPACK-A-U	0	PE00000040
WS300TSPACK-A-U	0	PE00000040
HV-KB553GCM	0	PE00000017
HV-KB559GCM	0	PE00000017
HV-KB569GCM	0	PE00000017
HV-KB655GCM	0	PE00000017
XP3FM	0	PE00000005
HV-KB657CM	0	PE00000017
HV-H18	0	PE00000017
HV-H11	0	PE00000017
CC-543 (FY1041)	0	PE00000005
102-50V	0	PE00000005
103-50V	0	PE00000005
683J-400V	0	PE00000005
104J-250V (POL)	0	PE00000005
104J-400V	0	PE00000005
104-50V	0	PE00000005
224J-100V (POL)	0	PE00000005
224J-250V (POL)	0	PE00000005
334J-100V (MIL)	0	PE00000005
334K-100V (POL)	0	PE00000005
334J-250V (POL)	0	PE00000005
474J-250V	0	PE00000005
564J-630V	0	PE00000005
1.5MFD-250V	0	PE00000005
10MFD-250V	0	PE00000005
2MFD-250V	0	PE00000005
2.2MFD-250V	0	PE00000005
2.5MFD-250M (255K)	0	PE00000005
3.3MFD-250V	0	PE00000005
4.7MFD-250M (475K)	0	PE00000005
5MFD-250V	0	PE00000005
6.8MFD-250V	0	PE00000005
BTT 1.5MF-250V	0	PE00000005
BTT 10MF-250V	0	PE00000005
BTT 1MF-250V	0	PE00000005
BTT 2.5MF-250V	0	PE00000005
BTT 2MF-250V	0	PE00000005
BTT 3.5MF-250V	0	PE00000005
BTT 3MF-250V	0	PE00000005
BTT 4.5MF-250V	0	PE00000005
BTT 4MF-250V	0	PE00000005
BTT 5MF-250V	0	PE00000005
BTT 6MF-250V	0	PE00000005
BTT 8MF-250V	0	PE00000005
PL-1815X2C	0	PE00000005
PL-1817X2	0	PE00000005
PL-1815X2	0	PE00000005
CN-642 OF	0	PE00000005
QX-2841	0	PE00000005
CN-338	0	PE00000005
QX-2908	0	PE00000005
QX-2819A	0	PE00000005
NF-33CMP-BL OF	0	PE00000006
NF-33CMP-BK	0	PE00000005
QX-2819B	0	PE00000005
NF-32CMP-BL	0	PE00000005
NF-32CMP-BK	0	PE00000005
QX-2819C	0	PE00000005
CN-266	0	PE00000005
D-8012A	0	PE00000005
CN-238	0	PE00000005
CN-981	0	PE00000005
QX-2842	0	PE00000005
QX-2809	0	PE00000005
D-8023	0	PE00000005
QX-2919	0	PE00000005
CN-239	0	PE00000005
QX-2956A	0	PE00000005
QX-2910	0	PE00000005
D-8037 OF	0	PE00000005
QX-2848	0	PE00000005
CN-267	0	PE00000005
F-56CMP-BL	0	PE00000005
QX-2861	0	PE00000005
QX-2855	0	PE00000005
CN-243	0	PE00000005
CN-244	0	PE00000005
CN-293G	0	PE00000005
CN-263G	0	PE00000005
CN-228	0	PE00000005
QX-2883B	0	PE00000005
QX-2883C	0	PE00000005
NF-56W OF	0	PE00000006
HY1.2978B	0	PE00000005
HY1.2978C OF	0	PE00000005
CN-343	0	PE00000005
CN-342	0	PE00000005
CN-242	0	PE00000005
QX-2923	0	PE00000005
QX-2923G	0	PE00000005
UR-K3	0	PE00000005
UY-K1	0	PE00000005
UY-K2	0	PE00000005
104-15FH	0	PE00000005
104-15MH	0	PE00000005
CC-125F	0	PE00000005
CC-125M	0	PE00000005
CC-109F	0	PE00000005
CC-109M	0	PE00000005
QX-7002-6P4C	0	PE00000005
QX-7002-8P8C	0	PE00000005
QX-7003-6P4C	0	PE00000005
AX-CP1-GOLD	0	PE00000029
AX-CP1-SILVER	0	PE00000029
LC1134NT-M	0	PE00000016
MCC1134CB	0	PE00000016
MCC1134AF	0	PE00000016
MCC1134LB	0	PE00000016
MEC1134NT-G	0	PE00000016
CSP	0	PE00000016
DMX24.4 OF	0	PE00000012
PV14AT	0	PE00000018
PV14BT	0	PE00000018
PMX-S8	0	PE00000005
PV6	0	PE00000018
PV6BT	0	PE00000018
PME-1006U	0	PE00000009
MXi.10	0	PE00000012
MXi.12	0	PE00000012
MXi.12FX	0	PE00000012
MXi.1222CFX	0	PE00000012
MXi.12USB	0	PE00000012
MXi.1422CFX	0	PE00000012
MXi.1622CFX	0	PE00000012
MXi.5	0	PE00000012
MXi.6FX	0	PE00000012
MX1222FX	0	PE00000012
MX.12FX	0	PE00000012
MX1422FX	0	PE00000012
MX1642	0	PE00000012
MX2442	0	PE00000012
MXi.3BT	0	PE00000012
MX.6V2	0	PE00000012
PV10BT	0	PE00000018
PV6 USB OF	0	PE00000018
PVI12 120V	0	PE00000018
PTD-104	0	PE00000005
PTD-103	0	PE00000005
PTD-203	0	PE00000005
PTD-503	0	PE00000005
CNT00075	0	PE00000005
VC-8810	0	PE00000005
REP-EQ-B10K	0	PE00000005
PTL-35B20K	0	PE00000005
REP-SL458G-A10K	0	PE00000005
REP-B100K	0	PE00000005
SA6005G-10K	0	PE00000005
SA6005G-50K	0	PE00000005
REP-SL305G-B10K	0	PE00000009
TRBH-502 OF	0	PE00000005
POT250 (A250K)	0	PE00000015
POT250 (B250K)	0	PE00000015
POT500 (A500K)	0	PE00000015
POT500 (B504)	0	PE00000015
POT500 (B500K)	0	PE00000015
GWS02 (A500K) OF	0	PE00000015
POTX6 (A500K) OF	0	PE00000011
GWS02 (B500K) OF	0	PE00000015
POTGB34A (A500K/C500	0	PE00000011
POTG100 (A500K)	0	PE00000011
REP-KR-CR	0	PE00000025
AX-RCFOG	0	PE00000030
REP-RC-ATV	0	PE00000005
AX-WLFOG	0	PE00000030
Z-5	0	PE00000009
RC-AALG1	0	PE00000005
RC-AAPAN1	0	PE00000005
RC-AASAM1	0	PE00000005
REP-CR/B	0	PE00000005
6711R1P089B	0	PE00000005
00104C	0	PE00000005
RC0764	0	PE00000005
RC-44C05	0	PE00000005
6710V00008K-TR OF	0	PE00000005
RC-ATV	0	PE00000005
RM-515DC	0	PE00000005
RMY-116	0	PE00000005
RM-L915	0	PE00000005
RM-D613W	0	PE00000005
RM-D959	0	PE00000005
RM-609CB-3	0	PE00000005
6710V00124D	0	PE00000005
6710V00008K	0	PE00000005
RMY-172 NEGRO	0	PE00000005
RMY-172 PLOMO	0	PE00000005
RM-552FC	0	PE00000005
RM-016FC	0	PE00000005
RM-191A-1	0	PE00000005
RM-D764	0	PE00000005
REP-CR-DS-530-5	0	PE00000029
REP-RC-168M2	0	PE00000005
HR-159E	0	PE00000005
HR-159F AMARILLO	0	PE00000005
HR-159F AZUL	0	PE00000005
HR-159F NARANJA	0	PE00000005
HR-159F ROSADO	0	PE00000005
HR-159F VERDE	0	PE00000005
HR-878E	0	PE00000005
HR-N99 PURPURA	0	PE00000005
HR-I908 AMARILLO	0	PE00000005
HR-I908 AZUL	0	PE00000005
HR-I908 PURPURA	0	PE00000005
HR-I908 VERDE	0	PE00000005
Q-1000E	0	PE00000005
RM-D66E OF	0	PE00000005
RM-36E_	0	PE00000005
HR-L816 OF	0	PE00000005
RM-L1130_6	0	PE00000005
RM-L1130_8	0	PE00000005
PTS-104	0	PE00000005
PTS-103	0	PE00000005
REP-POT-B10K	0	PE00000025
PTS-102	0	PE00000005
PTS-105	0	PE00000005
PTS-203	0	PE00000005
PTS-254	0	PE00000005
PTS-504	0	PE00000005
PTS-503	0	PE00000005
PTS-502	0	PE00000005
REP-POTL-10K	0	PE00000005
TRBV-103	0	PE00000005
TRBV-503	0	PE00000005
TRBV-502	0	PE00000005
4769259	0	PE00000010
4780774	0	PE00000010
4780861	0	PE00000010
4780846	0	PE00000010
4780833	0	PE00000010
4780740	0	PE00000010
4769250	0	PE00000010
4780848	0	PE00000010
4780773	0	PE00000010
NSFX	0	PE00000001
DMX-1024	0	PE00000029
DMX-512	0	PE00000029
DISCO240	0	PE00000029
RGB3C	0	PE00000001
DDJ-SP1	0	PE00000023
DDJ-SB2	0	PE00000023
TC-1000	0	PE00000005
TC-100	0	PE00000005
TC-1500	0	PE00000005
TC-200	0	PE00000005
TC-2500	0	PE00000005
TC-3000	0	PE00000005
TC-300	0	PE00000005
TC-5000	0	PE00000005
TC-500	0	PE00000005
LLD-50	0	PE00000005
LLD100M OF	0	PE00000004
LLD200M OF	0	PE00000004
CC-201	0	PE00000005
FY-1317S	0	PE00000005
FY-1320S	0	PE00000005
TV-531 (FY1301B)	0	PE00000005
FY-1302	0	PE00000005
CA-DPHD	0	PE00000005
FY-3117A	0	PE00000005
CA-MDP02	0	PE00000005
CA-MDP01	0	PE00000005
CVT-15A	0	PE00000005
CVT-10A	0	PE00000005
CVT-20A	0	PE00000005
CVT-20A REMATE	0	PE00000005
CVT-30A	0	PE00000005
CVT-40A	0	PE00000005
CVT-50A	0	PE00000005
TV-327	0	PE00000036
CA-U3HD	0	PE00000005
FY1327	0	PE00000005
CA-U3VGA	0	PE00000005
FY-232CA	0	PE00000005
CV-103A (FY1316W)	0	PE00000005
VTA-4/4	0	PE00000014
GHD-101	0	PE00000005
GH-137	0	PE00000005
GH-155	0	PE00000005
SPT-979PI	0	PE00000005
GH-125	0	PE00000005
GH-176	0	PE00000005
GH-166	0	PE00000005
GH-600	0	PE00000005
LLTE-600	0	PE00000005
GH-189	0	PE00000005
GP-339A	0	PE00000005
GP-306	0	PE00000005
DCC-05S OF	0	PE00000014
MDJS2	0	PE00000016
COR-NL102 BL	0	PE00000014
COR-NL102 BK	0	PE00000014
COR-NL203 BL	0	PE00000014
COR-NL203 BK	0	PE00000014
BD-02	0	PE00000014
CA608-W	0	PE00000011
CA608-R	0	PE00000011
PWEB-BL	0	PE00000012
PWEB-BK	0	PE00000012
GST-3B	0	PE00000014
PWEB-RD	0	PE00000012
GST-01	0	PE00000014
GSD-01	0	PE00000014
NJ-018A	0	PE00000005
1PK-037S	0	PE00000001
BT1033	0	PE00000005
CQ0765RT CLD	0	PE00000056
CQ1265RT CLD	0	PE00000056
REP-SR181.9	0	PE00000005
