ParentKey	LineNum	SourcePath	FileName	FileExtension	Override	FreeText
AbsoluteEntry	LineNum	srcPath	FileName	FileExt	Override	FreeText
840	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-24SW(1)	jpg	Y	AD-24SW
840	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-24SW(2)	jpg	Y	AD-24SW
841	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-2515_768x960	jpg	Y	AD-2515
841	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-2515(3)_960x768	jpg	Y	AD-2515
841	2	\\192.168.10.27\Documentos_SAP\Anexos	AD-2515(2)_768x960	jpg	Y	AD-2515
842	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-30SW(1)	jpg	Y	AD-30SW
842	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-30SW(2)	jpg	Y	AD-30SW
843	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-600UIR	jpg	Y	AD-600UIR OF
845	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-1210	jpg	Y	AD-1210 OF
846	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-1223	jpg	Y	AD-1223
846	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-1223(2)	jpg	Y	AD-1223
847	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-1233_768x960	jpg	Y	AD-1233
848	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-076A	jpg	Y	TJ-076A
848	1	\\192.168.10.27\Documentos_SAP\Anexos	TJ-076A(2) - 2016	jpg	Y	TJ-076A
849	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-076	jpg	Y	TJ-076
849	1	\\192.168.10.27\Documentos_SAP\Anexos	TJ-076(2)	jpg	Y	TJ-076
850	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-242S - (02-19)	jpg	Y	AD-242S
850	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-242S(2) - (02-19)	jpg	Y	AD-242S
850	2	\\192.168.10.27\Documentos_SAP\Anexos	AD-242S(1-3) - (02-19)	jpg	Y	AD-242S
850	3	\\192.168.10.27\Documentos_SAP\Anexos	AD-242S(7) - (02-19)	jpg	Y	AD-242S
852	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-512D	jpg	Y	AD-512D OF
853	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-512C	jpg	Y	AD-512C OF
854	0	\\192.168.10.27\Documentos_SAP\Anexos	TJW-001	jpg	Y	TJW-001
854	1	\\192.168.10.27\Documentos_SAP\Anexos	TJW-001(2)	jpg	Y	TJW-001
855	0	\\192.168.10.27\Documentos_SAP\Anexos	EB-IPUT04BL(WY-002)	jpg	Y	EB-IPUT04BL
855	1	\\192.168.10.27\Documentos_SAP\Anexos	EB-IPUT04BL (WY-002)(2)	jpg	Y	EB-IPUT04BL
856	0	\\192.168.10.27\Documentos_SAP\Anexos	EB-IPUT04BK (WY-002)	jpg	Y	EB-IPUT04BK
856	1	\\192.168.10.27\Documentos_SAP\Anexos	EB-IPUT04BK (WY-002)(2)	jpg	Y	EB-IPUT04BK
857	0	\\192.168.10.27\Documentos_SAP\Anexos	EB-IPUT04RD (WY-002)	jpg	Y	EB-IPUT04RD
857	1	\\192.168.10.27\Documentos_SAP\Anexos	EB-IPUT04RD (WY-002)(2)	jpg	Y	EB-IPUT04RD
