ItemCode	U_Cant_X_Empaque	U_Cant_x_carton	
ItemCode	U_Cant_X_Empaque	U_Cant_x_carton	
2SA1837 CLD	1	1	
2SA1941	1	1	
2SA1941 CLD	1	100	
2SA1943 CLD	1	100	
2SA1943 CLD CLA	1	1	
2SA2222 CLD	1	1	
2SA473 CLD	1	1	
2SA614	1	1	
2SA634	1	1	
2SA643C-Y	1	1	
2SA673	1	1	
2SA683R	1	1	
2SA684	1	1	
2SA684 CLD	1	1	
2SA699	1	1	
2SA715 CLD	1	1	
2SA733 CLD	1	1	
2SA770	1	1	
2SA844	1	1	
2SA874	1	1	
2SA886	1	1	
2SA916 CLD	1	1	
2SA933 CLA	1	1	
2SA937	1	1	
2SA940 CLA	1	1	
2SA940 CLD	1	50	
2SA949	1	1	
2SA965 CLD	1	1	
2SB1015 CLD	1	1	
2SB1020	1	1	
2SB1050	1	1	
2SB1068	1	1	
2SB1203S	1	1	
2SB1237	1	1	
2SB1241	1	1	
2SB1243	1	1	
2SB1274	1	1	
2SB1274 CLD	1	1	
2SB1318 CLA	1	1	
2SB1344	1	1	
2SB1370 CLD	1	1	
2SB1370PI CLD	1	1	
2SB1374	1	1	
2SB1375 CLD	1	1	
2SB1560	1	1	
2SB1565	1	1	
2SB1565 CLD	1	1	
2SB1565 CLD-RMV	1	1	
2SB1566	1	1	
2SB1568	1	1	
2SB1587	1	1	
2SB1588 CLD	1	1	
2SB1624 CLD	1	1	
2SB1626	1	1	
2SB1649 CLD	1	1	
2SB1655	1	1	
2SB1686 CLD	1	1	
2SB324 CLA	1	1	
2SB337	1	1	
2SB407	1	1	
2SB468	1	1	
2SB475 CLA	1	1	
2SB481	1	1	
2SB507	1	1	
2SB507 CLD	1	1	
2SB511 CLD	1	1	
2SB546	1	1	
2SB553	1	1	
2SB557	1	1	
2SB560	1	1	
2SB562	1	1	
2SB595	1	1	
2SB596	1	1	
2SB596 MT CLA	1	1	
2SB596 PLT CLA	1	1	
2SB600 CLA	1	1	
2SB631 CLD	1	1	
2SB632 CLD	1	1	
2SB642	1	1	
2SB647	1	1	
2SB647 CLD	1	100	
2SB649 CLA	1	1	
2SB649 CLD	1	1	
2SB688 CLD	1	30	
2SB772 CLD	1	1	
2SB817C CLD	1	30	
2SB827	1	1	
2SB828	1	1	
2SB829 CLA	1	1	
2SB834 CLD	1	1	
2SB857	1	1	
2SB880	1	1	
2SB882	1	1	
2SB892 CLD	1	1	
2SB950	1	1	
2SC1008	1	1	
2SC1012 SEMI-CLD CLA	1	1	
2SC1025	1	1	
2SC1051	1	1	
2SC1061 CLD	1	1	
2SC1093 SEMI-CLD CLA	1	1	
2SC1096	1	1	
2SC1098	1	1	
2SC1127 CLD CLA	1	1	
2SC114	1	1	
2SC1161	1	1	
2SC1162 CLD	1	1	
2SC1170A	1	1	
2SC1172B CLD	1	1	
2SC1213	1	1	
2SC124	1	1	
2SC1308	1	1	
2SC1318 SEMI-CLD CLA	1	1	
2SC1383 CLD CLA	1	1	
2SC1384 CLD	1	1	
2SC1413 HIT	1	1	
2SC144 CLA	1	1	
2SC1454	1	1	
2SC1473	1	1	
2SC1507 CLD	1	1	
2SC1509	1	1	
2SC1569	1	1	
2SC1573 CLD	1	1	
2SC1577	1	1	
2SC1583	1	1	
2SC1617	1	1	
2SC1619A	1	1	
2SC1623	1	1	
2SC1629A	1	1	
2SC1652	1	1	
2SC1664	1	1	
2SC1756	1	1	
2SC1810	1	1	
2SC1815 CLD	1	25	
2SC1827	1	1	
2SC1828	1	1	
2SC1829 SEMI-CLD CLA	1	1	
2SC1841	1	1	
2SC1842	1	1	
2SC1846	1	1	
2SC1875	1	1	
2SC1890	1	1	
2SC1906	1	1	
2SC1923	1	1	
2SC1941 CLD	1	1	
2SC1942	1	1	
2SC1971	1	1	
2SC1985	1	1	
2SC2001	1	1	
2SC2021R CLA	1	1	
2SC2026 CLD	1	1	
2SC2026K CLD	1	1	
2SC2073 CLD	1	50	
2SC2092	1	1	
2SC2120	1	1	
2SC2230 CLD	1	100	
2SC2233	1	1	
2SC2233 CLD	1	1	
2SC2330 CLD	1	1	
2SC2331	1	1	
2SC2365	1	1	
2SC2383 CLD	1	1	
2SC2458	1	1	
2SC2482 CLD	1	1	
2SC2500 CLD	1	1	
2SC2570	1	1	
2SC2578 CLD	1	1	
2SC2580 CLD	1	1	
2SC2581 CLD	1	1	
2SC2581 SEMI-CLD	1	1	
2SC2611 CLD	1	1	
2SC2655Y CLD	1	1	
2SC2688 CLD	1	1	
2SC2705 CLD CLA	1	1	
2SC2752	1	1	
2SC2898	1	1	
2SC2921	1	1	
2SC3039 CLD	1	1	
2SC3153 CLD	1	1	
2SC3153 CLD-RMV	1	1	
2SC3157 CLD CLA	1	1	
2SC3198	1	1	
2SC3199 CLD	1	1	
2SC3203	1	1	
2SC3205 CLD	1	1	
2SC3207 CLD	1	1	
2SC3209 CLD	1	1	
2SC3229 CLD	1	1	
2SC3263 CLD	1	1	
2SC3271	1	1	
2SC3280 CLD	1	1	
