ItemCode	PurchasePackagingUnit	SalesUnit
2SC4458N CLD	UNIDAD	UNIDAD
2SC4460M CLD	UNIDAD	UNIDAD
2SC4467	UNIDAD	UNIDAD
2SC4468	UNIDAD	UNIDAD
2SC4507	UNIDAD	UNIDAD
2SC4508	UNIDAD	UNIDAD
2SC4533 CLD	UNIDAD	UNIDAD
2SC4636 CLD	UNIDAD	UNIDAD
2SC4663P CLD	UNIDAD	UNIDAD
2SC4664 MT	UNIDAD	UNIDAD
2SC4664N CLD	UNIDAD	UNIDAD
2SC4664 N2	UNIDAD	UNIDAD
2SC4664 P CLD	UNIDAD	UNIDAD
2SC4742	UNIDAD	UNIDAD
2SC4742 CLD	UNIDAD	UNIDAD
2SC4762	UNIDAD	UNIDAD
2SC4762 CLD	UNIDAD	UNIDAD
2SC4769	UNIDAD	UNIDAD
2SC4793 CLD	UNIDAD	UNIDAD
2SC4833M CLD	UNIDAD	UNIDAD
2SC4833 N2	UNIDAD	UNIDAD
2SC4834M CLD	UNIDAD	UNIDAD
2SC4834 N CLD	UNIDAD	UNIDAD
2SC4834P CLD	UNIDAD	UNIDAD
2SC4883	UNIDAD	UNIDAD
2SC4927	UNIDAD	UNIDAD
2SC4927 CLD	UNIDAD	UNIDAD
2SC5039F	UNIDAD	UNIDAD
2SC5042 CLD	UNIDAD	UNIDAD
2SC5047	UNIDAD	UNIDAD
2SC5048 CLD	UNIDAD	UNIDAD
2SC5071 CLD	UNIDAD	UNIDAD
2SC5088	UNIDAD	UNIDAD
2SC5143 CLD	UNIDAD	UNIDAD
2SC5148 CLD	UNIDAD	UNIDAD
2SC5149	UNIDAD	UNIDAD
2SC5171	UNIDAD	UNIDAD
2SC5197	UNIDAD	UNIDAD
2SC5198 CLD	UNIDAD	UNIDAD
2SC5200 CLD	UNIDAD	UNIDAD
2SC5207	UNIDAD	UNIDAD
2SC5236 CLD	UNIDAD	UNIDAD
2SC5242	UNIDAD	UNIDAD
2SC5249	UNIDAD	UNIDAD
2SC5250 CLD	UNIDAD	UNIDAD
2SC5251	UNIDAD	UNIDAD
2SC5271 CLD	UNIDAD	UNIDAD
2SC5287 CLD	UNIDAD	UNIDAD
2SC5296 CLD	UNIDAD	UNIDAD
2SC5297 CLD	UNIDAD	UNIDAD
2SC5299 CLD	UNIDAD	UNIDAD
2SC5302 CLD	UNIDAD	UNIDAD
2SC5339	UNIDAD	UNIDAD
2SC5386 CLD	UNIDAD	UNIDAD
2SC5387 CLD	UNIDAD	UNIDAD
2SC5426 CLD	UNIDAD	UNIDAD
2SC5426 SEMI-CLD	UNIDAD	UNIDAD
2SC5446 CLD	UNIDAD	UNIDAD
2SC5516 CLD	UNIDAD	UNIDAD
2SC5622	UNIDAD	UNIDAD
2SC5707 CLD	UNIDAD	UNIDAD
2SC5801	UNIDAD	UNIDAD
2SC5803	UNIDAD	UNIDAD
2SC5855	UNIDAD	UNIDAD
2SC5855 CLD	UNIDAD	UNIDAD
2SC5858 CLD	UNIDAD	UNIDAD
2SC5885 CLD	UNIDAD	UNIDAD
2SC5885	UNIDAD	UNIDAD
2SC5886 CLD	UNIDAD	UNIDAD
2SC5902 CLD	UNIDAD	UNIDAD
2SC5936 CLD	UNIDAD	UNIDAD
2SC6022 CLD	UNIDAD	UNIDAD
2SC6090 CLD	UNIDAD	UNIDAD
2SC6093 CLD	UNIDAD	UNIDAD
2SC6144 CLD	UNIDAD	UNIDAD
2SC681	UNIDAD	UNIDAD
2SC783	UNIDAD	UNIDAD
2SC828	UNIDAD	UNIDAD
2SC828 CLD	UNIDAD	UNIDAD
2SC829 CLD	UNIDAD	UNIDAD
2SC9012H	UNIDAD	UNIDAD
