ItemCode	InventoryWeight1	InventoryWeightUnit1	SalesUnitWeight	SalesWeightUnit	PurchaseUnitWeight	PurchaseWeightUnit
ItemCode	InventoryWeight1	InventoryWeightUnit1	SWeight1	SWght1Unit	BWeight1	BWght1Unit
2SC3153 CLD-RMV	0.02	KG	0.02	KG	0.02	KG
2SC3198	0.02	KG	0.02	KG	0.02	KG
2SC3199 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3203	0.02	KG	0.02	KG	0.02	KG
2SC3205 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3207 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3209 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3229 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3263 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3271	0.02	KG	0.02	KG	0.02	KG
2SC3280 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3280 CLD-RMV	0.02	KG	0.02	KG	0.02	KG
2SC3281	0.02	KG	0.02	KG	0.02	KG
2SC3281 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3300	0.02	KG	0.02	KG	0.02	KG
2SC3311	0.02	KG	0.02	KG	0.02	KG
2SC3320 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3400	0.02	KG	0.02	KG	0.02	KG
2SC3402	0.02	KG	0.02	KG	0.02	KG
2SC3409	0.02	KG	0.02	KG	0.02	KG
2SC3419	0.02	KG	0.02	KG	0.02	KG
2SC3420 TOSH	0.02	KG	0.02	KG	0.02	KG
2SC3451	0.02	KG	0.02	KG	0.02	KG
2SC3457	0.02	KG	0.02	KG	0.02	KG
2SC3502	0.02	KG	0.02	KG	0.02	KG
2SC3623	0.02	KG	0.02	KG	0.02	KG
2SC3666	0.02	KG	0.02	KG	0.02	KG
2SC3679	0.02	KG	0.02	KG	0.02	KG
2SC3795	0.02	KG	0.02	KG	0.02	KG
2SC3807 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3852 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3856 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3858 CLD	0.02	KG	0.02	KG	0.02	KG
2SC3895	0.02	KG	0.02	KG	0.02	KG
2SC3953	0.02	KG	0.02	KG	0.02	KG
2SC4056 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4064 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4108	0.02	KG	0.02	KG	0.02	KG
2SC4123	0.02	KG	0.02	KG	0.02	KG
2SC4130	0.02	KG	0.02	KG	0.02	KG
2SC4130 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4137	0.02	KG	0.02	KG	0.02	KG
2SC4158	0.02	KG	0.02	KG	0.02	KG
2SC4159 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4204	0.02	KG	0.02	KG	0.02	KG
2SC4237 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4242	0.02	KG	0.02	KG	0.02	KG
2SC4273	0.02	KG	0.02	KG	0.02	KG
2SC4370A CLD	0.02	KG	0.02	KG	0.02	KG
2SC4381	0.02	KG	0.02	KG	0.02	KG
2SC4382 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4418 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4419	0.02	KG	0.02	KG	0.02	KG
2SC4423 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4424 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4426	0.02	KG	0.02	KG	0.02	KG
2SC4429L CLD	0.02	KG	0.02	KG	0.02	KG
2SC4458N CLD	0.02	KG	0.02	KG	0.02	KG
2SC4460M CLD	0.02	KG	0.02	KG	0.02	KG
2SC4467	0.02	KG	0.02	KG	0.02	KG
2SC4468	0.02	KG	0.02	KG	0.02	KG
2SC4507	0.02	KG	0.02	KG	0.02	KG
2SC4508	0.02	KG	0.02	KG	0.02	KG
2SC4533 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4636 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4663P CLD	0.02	KG	0.02	KG	0.02	KG
2SC4664 MT	0.02	KG	0.02	KG	0.02	KG
2SC4664N CLD	0.02	KG	0.02	KG	0.02	KG
2SC4664 N2	0.02	KG	0.02	KG	0.02	KG
2SC4664 P CLD	0.02	KG	0.02	KG	0.02	KG
2SC4742	0.02	KG	0.02	KG	0.02	KG
2SC4742 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4762	0.02	KG	0.02	KG	0.02	KG
2SC4762 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4769	0.02	KG	0.02	KG	0.02	KG
2SC4793 CLD	0.02	KG	0.02	KG	0.02	KG
2SC4833M CLD	0.02	KG	0.02	KG	0.02	KG
2SC4833 N2	0.02	KG	0.02	KG	0.02	KG
2SC4834M CLD	0.02	KG	0.02	KG	0.02	KG
2SC4834 N CLD	0.02	KG	0.02	KG	0.02	KG
2SC4834P CLD	0.02	KG	0.02	KG	0.02	KG
2SC4883	0.02	KG	0.02	KG	0.02	KG
2SC4927	0.02	KG	0.02	KG	0.02	KG
2SC4927 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5039F	0.02	KG	0.02	KG	0.02	KG
2SC5042 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5047	0.02	KG	0.02	KG	0.02	KG
2SC5048 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5071 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5088	0.02	KG	0.02	KG	0.02	KG
2SC5143 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5148 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5149	0.02	KG	0.02	KG	0.02	KG
2SC5171	0.02	KG	0.02	KG	0.02	KG
2SC5197	0.02	KG	0.02	KG	0.02	KG
2SC5198 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5200 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5207	0.02	KG	0.02	KG	0.02	KG
2SC5236 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5242	0.02	KG	0.02	KG	0.02	KG
2SC5249	0.02	KG	0.02	KG	0.02	KG
2SC5250 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5251	0.02	KG	0.02	KG	0.02	KG
2SC5271 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5287 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5296 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5297 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5299 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5302 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5339	0.02	KG	0.02	KG	0.02	KG
2SC5386 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5387 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5426 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5426 SEMI-CLD	0.02	KG	0.02	KG	0.02	KG
